frequency_female;frequency_male;name
10687;28;DAYSE
416;0;DAYSI
1792;0;DEA
47;0;DEBBIE
312839;1108;DEBORA
10353;28;DEBORAH
41;16947;DECIO
66902;291;DEISE
215;0;DEISEMAR
3026;0;DEISI
11214;42;DEISIANE
374;0;DEISILANE
2286;0;DEISY
3827;0;DEIZE
257;0;DEIZI
232;8596;DEJAIR
18956;55;DEJANIRA
29;0;DEJANY
1618;40;DELAINE
1499;788;DELAIR
922;114;DELANE
708;0;DELBA
638;0;DELCILENE
104;0;DELENIR
1164;1830;DELI
3312;0;DELIANE
1208;0;DELINA
284;227;DELIR
202;0;DELIRA
39;0;DELIRDES
410;0;DELISE
16112;90;DELMA
224;5553;DELMAR
412;0;DELMARA
4275;0;DELMIRA
0;1187;DELSO
0;196;DELVANIO
27;0;DEMERCILIA
24;6230;DEMETRIO
0;57;DEMEVALDO
0;2851;DEMILSON
1920;167;DENAIR
1432;1893;DENI
1697;45;DENIA
2753;0;DENILDA
846;21;DENILSE
378;74095;DENILSON
3305;0;DENILZA
1729;1660;DENIR
1333;75029;DENIS
168666;649;DENISE
123;0;DENISIANE
0;3196;DENIVAL
0;6111;DENIVALDO
265;974;DENIZ
15404;68;DENIZE
0;890;DENNYS
44;0;DEOCLEIA
360;166;DEODETE
0;1637;DEOLINDO
0;366;DEONILDO
0;110;DERCEU
3361;2594;DERCI
251;0;DERLINDA
0;1945;DERMEVAL
1239;0;DESIRE
2173;0;DESIREE
917;0;DESIRRE
6783;23;DEUSA
2656;11832;DEUSDETE
254;88;DEUSI
35;0;DEUZELENE
399;0;DEUZELIA
434;6630;DEVAIR
975;848;DEVANI
2676;8622;DEVANIR
7736;31;DEYSE
74684;263;DIANA
13499;87;DIANE
226;31;DIANES
528;0;DIANI
310;0;DICLEIA
33;0;DICLEIDE
2455;421973;DIEGO
4992;168;DIENE
123;0;DIENEFFER
512;127;DILAIR
4913;46;DILCE
4126;24;DILENE
1753;0;DILETA
40479;153;DILMA
479;3450;DILMAR
1347;0;DILMARA
34;0;DILOA
53;282;DILOMAR
64;18398;DILSON
538;0;DILVANA
0;70;DILVANO
103;0;DILVETE
7689;0;DILZA
128;0;DILZE
176;18566;DIMAS
116;0;DIMEIA
17363;86;DINA
529;78;DINACIR
132;0;DINAELE
2029;0;DINAH
38;0;DINALCI
14267;46;DINALVA
21;2247;DINARTE
652;0;DINAURA
166;0;DINEFER
2833;0;DINEIA
0;160;DINOR
94;12125;DIOGENES
872;155247;DIOGO
1279;0;DIOMARA
873;0;DIONARA
11682;18708;DIONE
3631;0;DIONEIA
1341;36;DIONETE
5665;26;DIONISIA
69;19373;DIONISIO
2322;0;DIONIZIA
3183;22;DIOVANA
56701;347;DIRCE
287;0;DIRCEA
1522;0;DIRCEIA
89;0;DIRCELEI
1197;0;DIRCELIA
106;42446;DIRCEU
154;0;DIRCIANE
307;0;DIRCINEIA
57;0;DIRLEA
3126;3839;DIRLEI
6801;29;DIRLENE
235;0;DIRLETE
327;0;DIRMA
108;0;DIUCEIA
39353;201;DIVA
0;94;DIVALDIR
0;5304;DIVALDO
1024;0;DIVANEIDE
2513;833;DIVANIR
610;0;DIVANIRA
41065;119;DIVINA
0;791;DIVO
211;20;DIVONE
703;0;DIVONETE
0;436;DIVONSIR
0;575;DIVONZIR
116;436;DJACI
635;31185;DJALMA
28;0;DJANANI
7454;21;DJANIRA
416;0;DJENANE
41;21;DOELI
158;0;DOLARINA
20315;133;DOLORES
5673;0;DOMINGA
36742;186;DOMINGAS
329;125252;DOMINGOS
4861;862;DOMINIQUE
0;6199;DONATO
1543;37290;DONIZETE
26;812;DONIZETTI
12627;52;DORA
20224;1888;DORACI
625;0;DORACINA
33110;106;DORALICE
4088;0;DORALINA
73;0;DORAMI
262;0;DORANICE
942;0;DORCA
1593;27;DORCAS
154;427;DORI
818;0;DORIANA
1571;0;DORILDA
5162;99;DORIS
59;29947;DORIVAL
115;0;DORLENE
1275;773;DORLI
29;0;DORONICE
636;0;DOROTEA
4772;21;DOROTEIA
3631;28;DOROTI
7424;54;DORVALINA
1618;264889;DOUGLAS
6385;46;DRIELE
180;0;DRIELEN
1262;0;DRIELLE
1606;0;DRIELLY
37;1603;DUARTE
32141;93;DULCE
547;0;DULCELENE
285;0;DULCELI
1533;0;DULCELINA
542;80;DULCEMAR
223;0;DULCIANA
317;0;DULCICLEIDE
933;0;DULCILEIA
1719;351;DULCIMAR
22;0;DULCIMERI
19074;42;DULCINEIA
141;0;DULCY
346;0;DUNIA
0;154;DURIVAL
41;17274;DURVAL
101;0;DURVALICE
123;5143;EBER
103;0;ECLEA
380;0;ECLEIA
180;3275;ED
86;0;EDAIANE
0;3904;EDEGAR
29;0;EDELAIR
39;0;EDELCIA
0;1175;EDELCIO
555;94;EDELI
32;0;EDELIS
79;0;EDELISE
0;432;EDELMAR
20;5168;EDELSON
657;0;EDELVIRA
59;7778;EDEMAR
149;3828;EDEMIR
220;2723;EDEN
156;0;EDENEIA
1373;0;EDENICE
472;0;EDENILCE
483;0;EDENILSA
62;16601;EDENILSON
2345;2221;EDENIR
32;0;EDENISA
1155;0;EDENISE
448;73467;EDER
0;346;EDERLEI
295;173;EDERLI
126;32937;EDERSON
23;6529;EDESIO
0;1242;EDEVAL
0;379;EDEVAR
181;46254;EDGAR
0;4589;EDGARD
9064;5542;EDI
12958;102;EDIANE
616;0;EDICARLA
195;0;EDICLEA
4866;0;EDICLEIA
102;0;EDICLEUSA
3781;27;EDILA
22491;97;EDILAINE
2837;134;EDILAMAR
410;0;EDILANA
0;5570;EDILBERTO
1106;36;EDILCE
6465;20;EDILEIA
71690;322;EDILENE
18006;39;EDILEUSA
34653;98;EDILEUZA
15687;49;EDILMA
400;123872;EDILSON
0;3998;EDILTON
7897;0;EDILZA
773;292;EDIMA
1606;33021;EDIMAR
5897;36;EDIMARA
131;46251;EDIMILSON
41963;200;EDINA
0;888;EDINAEL
24236;97;EDINALVA
724;142;EDINE
789;0;EDINEA
1297;14560;EDINEI
24021;75;EDINEIA
10377;87;EDINEIDE
724;0;EDINICE
623;330;EDINIR
6405;6294;EDIR
226;0;EDIRLEIA
848;0;EDIRLENE
130;34797;EDISON
597;0;EDIT
50551;221;EDITE
7983;34;EDITH
25;4731;EDIVAL
284;81446;EDIVALDO
1788;245;EDIVANE
248;0;EDIVANEA
25120;151;EDIVANIA
17056;245;EDJANE
3006;0;EDLA
31;0;EDLE
6183;0;EDLEUZA
2571;147;EDMA
1744;47366;EDMAR
5143;27;EDMARA
131;22;EDMARI
1091;0;EDMEA
3030;0;EDMEIA
263;93251;EDMILSON
87;2358;EDMIR
0;906;EDMUR
199053;559;EDNA
24421;74;EDNALVA
1425;0;EDNEA
1050;12319;EDNEI
19470;59;EDNEIA
102;58;EDNEIS
48;10557;EDNILSON
1372;430171;EDSON
150633;1666;EDUARDA
4125;628539;EDUARDO
0;79;EDUILIO
492;26;EDUVIRGES
0;4638;EDVAL
326;114305;EDVALDO
0;938;EDVILSON
0;178;EDVIN
0;1790;EDWARD
1597;1341;EDY
90;0;EDYLAINE
19117;70;EFIGENIA
22;2340;EFRAIN
177;56;EGLAIR
26;0;EINY
505;54;ELADIR
607;0;ELAENE
81;24;ELAIN
256433;640;ELAINE
791;0;ELAINI
423;0;ELAINY
1077;527;ELAIR
2680;40;ELANI
533;0;ELANY
2636;0;ELAYNE
5201;1821;ELCI
68;0;ELCINDA
66;21338;ELCIO
10175;76;ELDA
162;172;ELDENIR
175;22512;ELDER
383;239;ELDI
78;0;ELDIMA
0;991;ELDON
319;0;ELEANA
1014;0;ELEANDRA
23;5905;ELEANDRO
769;0;ELEANE
60039;450;ELEN
39992;109;ELENA
138;46;ELENAI
10935;129;ELENI
46388;134;ELENICE
1113;25;ELENILCE
11094;45;ELENILDA
21;3860;ELENILTON
16484;532;ELENIR
2635;0;ELENISE
